,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
18,"('K', 0.9921746082151824)","('R', 0.9903779990695224)","('D', 0.9862685135346475)","('N', 0.9520410858254958)","('P', 0.9488168685908605)","('B', 0.9829698087700698)","('M', 0.967070071183017)","('S', 0.9557891030874139)","('V', 0.9099091542578587)","('H', 0.95590634544355)","('C', 0.9166951394695578)","('Ş', 0.9509713180410448)","('A', 0.9288782759301184)","('G', 0.9397541690433832)","('E', 0.9799606587362125)","('O', 0.9260224865978134)","('F', 0.9320658135701598)","('Ç', 0.9117415729801335)","('Ü', 0.928278841793437)","('Ğ', 0.9192397069899116)","('Ö', 0.915472044612707)","('Y', 0.8662568706034611)","('Z', 0.8412523490912236)","('L', 0.8341253540256724)","('T', 0.8195687633039582)","('J', 0.6903160639614331)","('İ', 0.31337922947814156)","('I', 0.0)"
19,"('A', 0.9986356063800027)","('V', 0.9702425014575279)","('Y', 0.9283007280267509)","('G', 0.9867071371504136)","('O', 0.9791814884877171)","('K', 0.9727052486080672)","('C', 0.9557452753435897)","('S', 0.9742027647154072)","('R', 0.9567163310487048)","('Z', 0.9258272507643834)","('M', 0.9682247729380568)","('Ç', 0.9523535522441567)","('Ş', 0.970297073976026)","('D', 0.9590190146771495)","('B', 0.9457152158175846)","('Ö', 0.979667881152057)","('Ğ', 0.9880665151845353)","('P', 0.9069801139965576)","('N', 0.9403084249026548)","('E', 0.9183380320970129)","('H', 0.979471246355306)","('Ü', 0.982283746487404)","('J', 0.8882476095072962)","('T', 0.8811797069704088)","('F', 0.8779850675420959)","('L', 0.8544713957768126)","('İ', 0.33381452995046446)","('I', 0.0)"
20,"('L', 0.9905850985046991)","('E', 0.9221403794089937)","('K', 0.9046787866116395)","('C', 0.9081021676278612)","('Ç', 0.9055731815157934)","('Ü', 0.8970560563196939)","('F', 0.8897097011106585)","('D', 0.8884582884699028)","('Ö', 0.8645246403811789)","('Ğ', 0.8641524634263457)","('S', 0.8551488889111836)","('B', 0.8540344161936305)","('A', 0.8510599112606833)","('P', 0.8506340387393553)","('R', 0.8497491593627736)","('Ş', 0.8488757088735583)","('G', 0.8481481584521778)","('V', 0.8478384856702718)","('O', 0.837050197973432)","('H', 0.8179078813937305)","('Z', 0.8160900722870179)","('M', 0.805608422290497)","('Y', 0.7995659964012826)","('T', 0.789193945981499)","('N', 0.7783238597624036)","('J', 0.6397212333698588)","('İ', 0.41528233976248186)","('I', 0.0)"
21,"('B', 0.9932795974540447)","('D', 0.9607515329906821)","('E', 0.9516741546391896)","('R', 0.9659755238477616)","('K', 0.9181694667503733)","('N', 0.9077785906737279)","('H', 0.9015502469278357)","('M', 0.9429526530724249)","('P', 0.8894107575486003)","('S', 0.8802726120358021)","('Ş', 0.8695109255349369)","('G', 0.8507946416260138)","('Ü', 0.8347274012255262)","('O', 0.8260390957184702)","('A', 0.8247750894442517)","('F', 0.8186932123840098)","('Ğ', 0.8137305873176649)","('Ö', 0.7971154825717884)","('C', 0.7846193683157936)","('Z', 0.7804686956170204)","('Ç', 0.7686162963350209)","('V', 0.7652184355750331)","('Y', 0.6832313419349059)","('T', 0.6394242831632108)","('L', 0.6325950111452066)","('J', 0.5878532539045934)","('İ', 0.2835848353345164)","('I', 0.0)"
22,"('I', 0.9327616606822645)","('İ', 0.809699725385834)","('B', 0.4434039660254392)","('N', 0.36628980456722093)","('R', 0.3497545410926377)","('D', 0.347897175334246)","('E', 0.34511494578333146)","('M', 0.3388533797543064)","('S', 0.29051005043826184)","('Z', 0.2864641306873412)","('H', 0.2673572997117999)","('Ş', 0.26386518393684244)","('J', 0.2598820374255971)","('K', 0.24218731941122162)","('G', 0.2354210190893724)","('P', 0.22196408519077415)","('Ü', 0.21848217366195355)","('Ğ', 0.18950351684551092)","('O', 0.1844207901532896)","('Ö', 0.15396352744181385)","('F', 0.1499836489228935)","('A', 0.1496430642290405)","('C', 0.134921336908863)","('Ç', 0.11519168376786582)","('V', 0.08040074707059508)","('T', 0.06402189966792327)","('L', 0.03387524075453985)","('Y', 0.0)"
23,"('M', 0.9902868848092643)","('N', 0.9554026319741156)","('K', 0.9528169627580662)","('R', 0.9835468450170282)","('D', 0.9752595911965029)","('O', 0.9137623173119288)","('G', 0.9260742979188124)","('B', 0.9863803666836326)","('P', 0.9143057373069375)","('A', 0.9075464698665927)","('H', 0.9685723326786598)","('S', 0.9275856754175023)","('Ş', 0.9194249820816371)","('E', 0.9371660384836227)","('Ü', 0.8998805860627659)","('Ğ', 0.8932127029365793)","('Ö', 0.8833565710433445)","('V', 0.863919281793364)","('C', 0.8597013096082701)","('Ç', 0.8467956528633713)","('F', 0.8446577437418133)","('Z', 0.8322233840904076)","('Y', 0.7972653541675061)","('T', 0.7329277727713251)","('J', 0.7099768192992806)","('L', 0.6897170377627679)","('İ', 0.2637208249116285)","('I', 0.0)"
24,"('I', 0.9327616606822645)","('İ', 0.809699725385834)","('B', 0.4434039660254392)","('N', 0.36628980456722093)","('R', 0.3497545410926377)","('D', 0.347897175334246)","('E', 0.34511494578333146)","('M', 0.3388533797543064)","('S', 0.29051005043826184)","('Z', 0.2864641306873412)","('H', 0.2673572997117999)","('Ş', 0.26386518393684244)","('J', 0.2598820374255971)","('K', 0.24218731941122162)","('G', 0.2354210190893724)","('P', 0.22196408519077415)","('Ü', 0.21848217366195355)","('Ğ', 0.18950351684551092)","('O', 0.1844207901532896)","('Ö', 0.15396352744181385)","('F', 0.1499836489228935)","('A', 0.1496430642290405)","('C', 0.134921336908863)","('Ç', 0.11519168376786582)","('V', 0.08040074707059508)","('T', 0.06402189966792327)","('L', 0.03387524075453985)","('Y', 0.0)"
25,"('Z', 0.9977880810727263)","('V', 0.9103875036601163)","('D', 0.9176116197450007)","('A', 0.9079992857396786)","('C', 0.9213942660628297)","('Ş', 0.9104853318789031)","('O', 0.9247564843400475)","('Ç', 0.9132711438763609)","('H', 0.9104940570620884)","('J', 0.9078406505954525)","('Ö', 0.9274754383007358)","('Ü', 0.9257413289375656)","('Ğ', 0.9224054241243539)","('R', 0.8944062367405241)","('B', 0.893704626760522)","('M', 0.8925985386053013)","('P', 0.8903407296430766)","('S', 0.8879178089321685)","('K', 0.8852944609976088)","('G', 0.8838881215064596)","('T', 0.8791176116099542)","('E', 0.8782875354762881)","('Y', 0.8769070637786883)","('F', 0.8535359035741439)","('N', 0.7961459776547634)","('L', 0.788312248478805)","('İ', 0.4212710791101094)","('I', 0.0)"
26,"('D', 0.9984732647689266)","('R', 0.9934017808999455)","('B', 0.9905764678278813)","('K', 0.9826634196796475)","('P', 0.9489531740398596)","('N', 0.945203741176669)","('C', 0.9333882875502676)","('S', 0.9598491493264819)","('O', 0.952088072910681)","('M', 0.9853778600903613)","('G', 0.9510218478927457)","('E', 0.9721252764883642)","('H', 0.9779548405224177)","('V', 0.9218552223303401)","('Ş', 0.9599292780036383)","('Ç', 0.9245125947029298)","('F', 0.9135570376270948)","('A', 0.9369681724226584)","('Ü', 0.9485919357622976)","('Ö', 0.937041552237271)","('Ğ', 0.9385241022825327)","('Z', 0.8992525479106137)","('Y', 0.8697634042642737)","('T', 0.8313397663431983)","('L', 0.8066124918334793)","('J', 0.7614145477024341)","('İ', 0.34474503429641323)","('I', 0.0)"
27,"('E', 0.9998815606308131)","('B', 0.9756282014199978)","('F', 0.937243971880305)","('P', 0.951666287294051)","('D', 0.9809933307614372)","('R', 0.9673386233694973)","('S', 0.9040144346067118)","('K', 0.9616547796812536)","('H', 0.9064140875755432)","('Ş', 0.904603913662914)","('M', 0.9235309184136631)","('Ü', 0.8933830255731846)","('C', 0.8906654959260996)","('Ç', 0.8818250024347309)","('N', 0.8796872564616158)","('G', 0.8767016459761701)","('O', 0.8732063056409415)","('Ö', 0.8661337897033338)","('Ğ', 0.8658246151410083)","('A', 0.8658113997723813)","('V', 0.8512250267202579)","('Z', 0.8407911890229842)","('L', 0.8375140375683984)","('Y', 0.7981761829455623)","('T', 0.7743709139452648)","('J', 0.6136334686270919)","('İ', 0.35296061395776)","('I', 0.0)"
28,"('H', 0.9969057161713927)","('N', 0.9572982574686951)","('D', 0.986486913113584)","('P', 0.9461625516947666)","('K', 0.9816123092385326)","('R', 0.9879610260707452)","('F', 0.9033681820979123)","('B', 0.9724438189929951)","('M', 0.9973287289259057)","('E', 0.9445175932993557)","('S', 0.9614681984107827)","('C', 0.9407494447237188)","('Ü', 0.9555813279868276)","('O', 0.9742867928798312)","('G', 0.968867993631885)","('Ş', 0.9619663068946923)","('V', 0.9475398792870122)","('Y', 0.9028624084169229)","('Ç', 0.9328417683207746)","('A', 0.961481420356936)","('Ö', 0.9549369008310281)","('Ğ', 0.954611484582056)","('Z', 0.8973817187577744)","('T', 0.8461554458905456)","('J', 0.7989149639969462)","('L', 0.7987360131673336)","('İ', 0.3048237163801689)","('I', 0.0)"
29,"('I', 0.9327616606822645)","('İ', 0.809699725385834)","('B', 0.4434039660254392)","('N', 0.36628980456722093)","('R', 0.3497545410926377)","('D', 0.347897175334246)","('E', 0.34511494578333146)","('M', 0.3388533797543064)","('S', 0.29051005043826184)","('Z', 0.2864641306873412)","('H', 0.2673572997117999)","('Ş', 0.26386518393684244)","('J', 0.2598820374255971)","('K', 0.24218731941122162)","('G', 0.2354210190893724)","('P', 0.22196408519077415)","('Ü', 0.21848217366195355)","('Ğ', 0.18950351684551092)","('O', 0.1844207901532896)","('Ö', 0.15396352744181385)","('F', 0.1499836489228935)","('A', 0.1496430642290405)","('C', 0.134921336908863)","('Ç', 0.11519168376786582)","('V', 0.08040074707059508)","('T', 0.06402189966792327)","('L', 0.03387524075453985)","('Y', 0.0)"
30,"('Ç', 0.9970276040260818)","('C', 0.9970690605767214)","('Ş', 0.9816006398087829)","('G', 0.970561628198766)","('O', 0.983155895100139)","('S', 0.974742812294118)","('V', 0.9866773546183967)","('D', 0.9679656688620845)","('Y', 0.9636380251842706)","('Ö', 0.9889820580240404)","('K', 0.9778496040539861)","('A', 0.9663410511056704)","('R', 0.9527222014187925)","('Ü', 0.9835534372757045)","('Z', 0.937655392564864)","('Ğ', 0.9811003823381134)","('M', 0.9443551240878572)","('P', 0.9327937187137807)","('N', 0.9157091820586994)","('B', 0.932397343072515)","('T', 0.9469618066419195)","('H', 0.9627231759698265)","('E', 0.942586344966121)","('F', 0.9430773524709675)","('L', 0.9213161584336133)","('J', 0.846108566880294)","('İ', 0.3970308544577753)","('I', 0.0)"
31,"('S', 0.9972875647407913)","('Ş', 0.9891291557038708)","('C', 0.9343367400055022)","('B', 0.9586935996452439)","('G', 0.9809876367858288)","('K', 0.969823865020266)","('D', 0.9612285334651043)","('V', 0.9447665918488316)","('Ç', 0.9335557148007524)","('O', 0.9604163410677281)","('R', 0.9648022096020117)","('A', 0.9589205406691331)","('E', 0.9204265772440539)","('N', 0.9806301606159367)","('Y', 0.905380050237352)","('M', 0.967405871537011)","('Ü', 0.9593081831857311)","('H', 0.966207665611734)","('Ö', 0.9575964065443168)","('Ğ', 0.9666717502474098)","('P', 0.880094334467755)","('Z', 0.8768895516722154)","('T', 0.8767565467702625)","('F', 0.8679995745023521)","('J', 0.8341983472533063)","('L', 0.8015771624468262)","('İ', 0.34705253960923577)","('I', 0.0)"
32,"('D', 0.9794582213497292)","('N', 0.9565716665396351)","('H', 0.9877617858011519)","('K', 0.978592196317674)","('C', 0.9603152112826476)","('S', 0.977975364938261)","('R', 0.967661571579046)","('Ü', 0.9871721161585673)","('B', 0.9634335757463202)","('P', 0.9046095974233419)","('O', 0.9808117490319846)","('M', 0.9825057938464162)","('G', 0.9905394166591521)","('Ş', 0.9690331806849083)","('Ç', 0.9530178586776209)","('V', 0.9545559251779159)","('E', 0.9365433105440372)","('Z', 0.9120084001705975)","('A', 0.978534870348944)","('Ö', 0.9752589760012548)","('Ğ', 0.9820887452902225)","('Y', 0.8956451254581077)","('F', 0.8733016941854144)","('L', 0.8519138638140751)","('T', 0.8489359556041066)","('J', 0.8465356307743341)","('İ', 0.3513567781146877)","('I', 0.0)"
33,"('S', 0.9972875647407913)","('Ş', 0.9891291557038708)","('C', 0.9343367400055022)","('B', 0.9586935996452439)","('G', 0.9809876367858288)","('K', 0.969823865020266)","('D', 0.9612285334651043)","('V', 0.9447665918488316)","('Ç', 0.9335557148007524)","('O', 0.9604163410677281)","('R', 0.9648022096020117)","('A', 0.9589205406691331)","('E', 0.9204265772440539)","('N', 0.9806301606159367)","('Y', 0.905380050237352)","('M', 0.967405871537011)","('Ü', 0.9593081831857311)","('H', 0.966207665611734)","('Ö', 0.9575964065443168)","('Ğ', 0.9666717502474098)","('P', 0.880094334467755)","('Z', 0.8768895516722154)","('T', 0.8767565467702625)","('F', 0.8679995745023521)","('J', 0.8341983472533063)","('L', 0.8015771624468262)","('İ', 0.34705253960923577)","('I', 0.0)"
34,"('M', 0.9902868848092643)","('N', 0.9554026319741156)","('K', 0.9528169627580662)","('R', 0.9835468450170282)","('D', 0.9752595911965029)","('O', 0.9137623173119288)","('G', 0.9260742979188124)","('B', 0.9863803666836326)","('P', 0.9143057373069375)","('A', 0.9075464698665927)","('H', 0.9685723326786598)","('S', 0.9275856754175023)","('Ş', 0.9194249820816371)","('E', 0.9371660384836227)","('Ü', 0.8998805860627659)","('Ğ', 0.8932127029365793)","('Ö', 0.8833565710433445)","('V', 0.863919281793364)","('C', 0.8597013096082701)","('Ç', 0.8467956528633713)","('F', 0.8446577437418133)","('Z', 0.8322233840904076)","('Y', 0.7972653541675061)","('T', 0.7329277727713251)","('J', 0.7099768192992806)","('L', 0.6897170377627679)","('İ', 0.2637208249116285)","('I', 0.0)"
35,"('A', 0.9986356063800027)","('V', 0.9702425014575279)","('Y', 0.9283007280267509)","('G', 0.9867071371504136)","('O', 0.9791814884877171)","('K', 0.9727052486080672)","('C', 0.9557452753435897)","('S', 0.9742027647154072)","('R', 0.9567163310487048)","('Z', 0.9258272507643834)","('M', 0.9682247729380568)","('Ç', 0.9523535522441567)","('Ş', 0.970297073976026)","('D', 0.9590190146771495)","('B', 0.9457152158175846)","('Ö', 0.979667881152057)","('Ğ', 0.9880665151845353)","('P', 0.9069801139965576)","('N', 0.9403084249026548)","('E', 0.9183380320970129)","('H', 0.979471246355306)","('Ü', 0.982283746487404)","('J', 0.8882476095072962)","('T', 0.8811797069704088)","('F', 0.8779850675420959)","('L', 0.8544713957768126)","('İ', 0.33381452995046446)","('I', 0.0)"
36,"('Z', 0.9970523238400117)","('D', 0.9152920960515373)","('V', 0.9030216604336574)","('A', 0.9011858103246763)","('C', 0.9162094358255272)","('Ş', 0.9041600388183306)","('O', 0.9181508703291822)","('Ç', 0.9076541467041294)","('J', 0.9015105145171578)","('H', 0.9046705271115081)","('Ü', 0.9205310804420547)","('Ö', 0.9210143076355852)","('Ğ', 0.9157508605212814)","('B', 0.8916773990355429)","('R', 0.8905553878500144)","('P', 0.8891258200014378)","('M', 0.8875640438456317)","('S', 0.8810000865294687)","('K', 0.880001842214997)","('E', 0.8780453119422569)","('G', 0.8762325388789176)","('T', 0.8727521868394201)","('Y', 0.8686823522740439)","('F', 0.8511540948078102)","('N', 0.7877010347224425)","('L', 0.7842117971142535)","('İ', 0.4217983111718413)","('I', 0.0)"
